date,day,weekend,holiday,dst
2012-01-01,Sunday,1,,
2012-01-02,Monday,0,New Years,
2012-01-03,Tuesday,0,,
2012-01-04,Wednesday,0,,
2012-01-05,Thursday,0,,
2012-01-06,Friday,0,,
2012-01-07,Saturday,1,,
2012-01-08,Sunday,1,,
2012-01-09,Monday,0,,
2012-01-10,Tuesday,0,,
2012-01-11,Wednesday,0,,
2012-01-12,Thursday,0,,
2012-01-13,Friday,0,,
2012-01-14,Saturday,1,,
2012-01-15,Sunday,1,,
2012-01-16,Monday,0,,
2012-01-17,Tuesday,0,,
2012-01-18,Wednesday,0,,
2012-01-19,Thursday,0,,
2012-01-20,Friday,0,,
2012-01-21,Saturday,1,,
2012-01-22,Sunday,1,,
2012-01-23,Monday,0,,
2012-01-24,Tuesday,0,,
2012-01-25,Wednesday,0,,
2012-01-26,Thursday,0,,
2012-01-27,Friday,0,,
2012-01-28,Saturday,1,,
2012-01-29,Sunday,1,,
2012-01-30,Monday,0,,
2012-01-31,Tuesday,0,,
2012-02-01,Wednesday,0,,
2012-02-02,Thursday,0,,
2012-02-03,Friday,0,,
2012-02-04,Saturday,1,,
2012-02-05,Sunday,1,,
2012-02-06,Monday,0,,
2012-02-07,Tuesday,0,,
2012-02-08,Wednesday,0,,
2012-02-09,Thursday,0,,
2012-02-10,Friday,0,,
2012-02-11,Saturday,1,,
2012-02-12,Sunday,1,,
2012-02-13,Monday,0,,
2012-02-14,Tuesday,0,,
2012-02-15,Wednesday,0,,
2012-02-16,Thursday,0,,
2012-02-17,Friday,0,,
2012-02-18,Saturday,1,,
2012-02-19,Sunday,1,,
2012-02-20,Monday,0,,
2012-02-21,Tuesday,0,,
2012-02-22,Wednesday,0,,
2012-02-23,Thursday,0,,
2012-02-24,Friday,0,,
2012-02-25,Saturday,1,,
2012-02-26,Sunday,1,,
2012-02-27,Monday,0,,
2012-02-28,Tuesday,0,,
2012-02-29,Wednesday,0,,
2012-03-01,Thursday,0,,
2012-03-02,Friday,0,,
2012-03-03,Saturday,1,,
2012-03-04,Sunday,1,,
2012-03-05,Monday,0,,
2012-03-06,Tuesday,0,,
2012-03-07,Wednesday,0,,
2012-03-08,Thursday,0,,
2012-03-09,Friday,0,,
2012-03-10,Saturday,1,,
2012-03-11,Sunday,1,,-1
2012-03-12,Monday,0,,
2012-03-13,Tuesday,0,,
2012-03-14,Wednesday,0,,
2012-03-15,Thursday,0,,
2012-03-16,Friday,0,,
2012-03-17,Saturday,1,,
2012-03-18,Sunday,1,,
2012-03-19,Monday,0,,
2012-03-20,Tuesday,0,,
2012-03-21,Wednesday,0,,
2012-03-22,Thursday,0,,
2012-03-23,Friday,0,,
2012-03-24,Saturday,1,,
2012-03-25,Sunday,1,,
2012-03-26,Monday,0,,
2012-03-27,Tuesday,0,,
2012-03-28,Wednesday,0,,
2012-03-29,Thursday,0,,
2012-03-30,Friday,0,,
2012-03-31,Saturday,1,,
2012-04-01,Sunday,1,,
2012-04-02,Monday,0,,
2012-04-03,Tuesday,0,,
2012-04-04,Wednesday,0,,
2012-04-05,Thursday,0,,
2012-04-06,Friday,0,Good Friday,
2012-04-07,Saturday,1,,
2012-04-08,Sunday,1,,
2012-04-09,Monday,0,Easter Monday,
2012-04-10,Tuesday,0,,
2012-04-11,Wednesday,0,,
2012-04-12,Thursday,0,,
2012-04-13,Friday,0,,
2012-04-14,Saturday,1,,
2012-04-15,Sunday,1,,
2012-04-16,Monday,0,,
2012-04-17,Tuesday,0,,
2012-04-18,Wednesday,0,,
2012-04-19,Thursday,0,,
2012-04-20,Friday,0,,
2012-04-21,Saturday,1,,
2012-04-22,Sunday,1,,
2012-04-23,Monday,0,,
2012-04-24,Tuesday,0,,
2012-04-25,Wednesday,0,,
2012-04-26,Thursday,0,,
2012-04-27,Friday,0,,
2012-04-28,Saturday,1,,
2012-04-29,Sunday,1,,
2012-04-30,Monday,0,,
2012-05-01,Tuesday,0,,
2012-05-02,Wednesday,0,,
2012-05-03,Thursday,0,,
2012-05-04,Friday,0,,
2012-05-05,Saturday,1,,
2012-05-06,Sunday,1,,
2012-05-07,Monday,0,,
2012-05-08,Tuesday,0,,
2012-05-09,Wednesday,0,,
2012-05-10,Thursday,0,,
2012-05-11,Friday,0,,
2012-05-12,Saturday,1,,
2012-05-13,Sunday,1,,
2012-05-14,Monday,0,,
2012-05-15,Tuesday,0,,
2012-05-16,Wednesday,0,,
2012-05-17,Thursday,0,,
2012-05-18,Friday,0,,
2012-05-19,Saturday,1,,
2012-05-20,Sunday,1,,
2012-05-21,Monday,0,Victoria Day,
2012-05-22,Tuesday,0,,
2012-05-23,Wednesday,0,,
2012-05-24,Thursday,0,,
2012-05-25,Friday,0,,
2012-05-26,Saturday,1,,
2012-05-27,Sunday,1,,
2012-05-28,Monday,0,,
2012-05-29,Tuesday,0,,
2012-05-30,Wednesday,0,,
2012-05-31,Thursday,0,,
2012-06-01,Friday,0,,
2012-06-02,Saturday,1,,
2012-06-03,Sunday,1,,
2012-06-04,Monday,0,,
2012-06-05,Tuesday,0,,
2012-06-06,Wednesday,0,,
2012-06-07,Thursday,0,,
2012-06-08,Friday,0,,
2012-06-09,Saturday,1,,
2012-06-10,Sunday,1,,
2012-06-11,Monday,0,,
2012-06-12,Tuesday,0,,
2012-06-13,Wednesday,0,,
2012-06-14,Thursday,0,,
2012-06-15,Friday,0,,
2012-06-16,Saturday,1,,
2012-06-17,Sunday,1,,
2012-06-18,Monday,0,,
2012-06-19,Tuesday,0,,
2012-06-20,Wednesday,0,,
2012-06-21,Thursday,0,,
2012-06-22,Friday,0,,
2012-06-23,Saturday,1,,
2012-06-24,Sunday,1,,
2012-06-25,Monday,0,,
2012-06-26,Tuesday,0,,
2012-06-27,Wednesday,0,,
2012-06-28,Thursday,0,,
2012-06-29,Friday,0,,
2012-06-30,Saturday,1,,
2012-07-01,Sunday,1,,
2012-07-02,Monday,0,Canada Day,
2012-07-03,Tuesday,0,,
2012-07-04,Wednesday,0,,
2012-07-05,Thursday,0,,
2012-07-06,Friday,0,,
2012-07-07,Saturday,1,,
2012-07-08,Sunday,1,,
2012-07-09,Monday,0,,
2012-07-10,Tuesday,0,,
2012-07-11,Wednesday,0,,
2012-07-12,Thursday,0,,
2012-07-13,Friday,0,,
2012-07-14,Saturday,1,,
2012-07-15,Sunday,1,,
2012-07-16,Monday,0,,
2012-07-17,Tuesday,0,,
2012-07-18,Wednesday,0,,
2012-07-19,Thursday,0,,
2012-07-20,Friday,0,,
2012-07-21,Saturday,1,,
2012-07-22,Sunday,1,,
2012-07-23,Monday,0,,
2012-07-24,Tuesday,0,,
2012-07-25,Wednesday,0,,
2012-07-26,Thursday,0,,
2012-07-27,Friday,0,,
2012-07-28,Saturday,1,,
2012-07-29,Sunday,1,,
2012-07-30,Monday,0,,
2012-07-31,Tuesday,0,,
2012-08-01,Wednesday,0,,
2012-08-02,Thursday,0,,
2012-08-03,Friday,0,,
2012-08-04,Saturday,1,,
2012-08-05,Sunday,1,,
2012-08-06,Monday,0,Civic Day,
2012-08-07,Tuesday,0,,
2012-08-08,Wednesday,0,,
2012-08-09,Thursday,0,,
2012-08-10,Friday,0,,
2012-08-11,Saturday,1,,
2012-08-12,Sunday,1,,
2012-08-13,Monday,0,,
2012-08-14,Tuesday,0,,
2012-08-15,Wednesday,0,,
2012-08-16,Thursday,0,,
2012-08-17,Friday,0,,
2012-08-18,Saturday,1,,
2012-08-19,Sunday,1,,
2012-08-20,Monday,0,,
2012-08-21,Tuesday,0,,
2012-08-22,Wednesday,0,,
2012-08-23,Thursday,0,,
2012-08-24,Friday,0,,
2012-08-25,Saturday,1,,
2012-08-26,Sunday,1,,
2012-08-27,Monday,0,,
2012-08-28,Tuesday,0,,
2012-08-29,Wednesday,0,,
2012-08-30,Thursday,0,,
2012-08-31,Friday,0,,
2012-09-01,Saturday,1,,
2012-09-02,Sunday,1,,
2012-09-03,Monday,0,Labour Day,
2012-09-04,Tuesday,0,,
2012-09-05,Wednesday,0,,
2012-09-06,Thursday,0,,
2012-09-07,Friday,0,,
2012-09-08,Saturday,1,,
2012-09-09,Sunday,1,,
2012-09-10,Monday,0,,
2012-09-11,Tuesday,0,,
2012-09-12,Wednesday,0,,
2012-09-13,Thursday,0,,
2012-09-14,Friday,0,,
2012-09-15,Saturday,1,,
2012-09-16,Sunday,1,,
2012-09-17,Monday,0,,
2012-09-18,Tuesday,0,,
2012-09-19,Wednesday,0,,
2012-09-20,Thursday,0,,
2012-09-21,Friday,0,,
2012-09-22,Saturday,1,,
2012-09-23,Sunday,1,,
2012-09-24,Monday,0,,
2012-09-25,Tuesday,0,,
2012-09-26,Wednesday,0,,
2012-09-27,Thursday,0,,
2012-09-28,Friday,0,,
2012-09-29,Saturday,1,,
2012-09-30,Sunday,1,,
2012-10-01,Monday,0,,
2012-10-02,Tuesday,0,,
2012-10-03,Wednesday,0,,
2012-10-04,Thursday,0,,
2012-10-05,Friday,0,,
2012-10-06,Saturday,1,,
2012-10-07,Sunday,1,,
2012-10-08,Monday,0,Thanksgiving,
2012-10-09,Tuesday,0,,
2012-10-10,Wednesday,0,,
2012-10-11,Thursday,0,,
2012-10-12,Friday,0,,
2012-10-13,Saturday,1,,
2012-10-14,Sunday,1,,
2012-10-15,Monday,0,,
2012-10-16,Tuesday,0,,
2012-10-17,Wednesday,0,,
2012-10-18,Thursday,0,,
2012-10-19,Friday,0,,
2012-10-20,Saturday,1,,
2012-10-21,Sunday,1,,
2012-10-22,Monday,0,,
2012-10-23,Tuesday,0,,
2012-10-24,Wednesday,0,,
2012-10-25,Thursday,0,,
2012-10-26,Friday,0,,
2012-10-27,Saturday,1,,
2012-10-28,Sunday,1,,
2012-10-29,Monday,0,,
2012-10-30,Tuesday,0,,
2012-10-31,Wednesday,0,,
2012-11-01,Thursday,0,,
2012-11-02,Friday,0,,
2012-11-03,Saturday,1,,
2012-11-04,Sunday,1,,+1
2012-11-05,Monday,0,,
2012-11-06,Tuesday,0,,
2012-11-07,Wednesday,0,,
2012-11-08,Thursday,0,,
2012-11-09,Friday,0,,
2012-11-10,Saturday,1,,
2012-11-11,Sunday,1,,
2012-11-12,Monday,0,Remembrance Day,
2012-11-13,Tuesday,0,,
2012-11-14,Wednesday,0,,
2012-11-15,Thursday,0,,
2012-11-16,Friday,0,,
2012-11-17,Saturday,1,,
2012-11-18,Sunday,1,,
2012-11-19,Monday,0,,
2012-11-20,Tuesday,0,,
2012-11-21,Wednesday,0,,
2012-11-22,Thursday,0,,
2012-11-23,Friday,0,,
2012-11-24,Saturday,1,,
2012-11-25,Sunday,1,,
2012-11-26,Monday,0,,
2012-11-27,Tuesday,0,,
2012-11-28,Wednesday,0,,
2012-11-29,Thursday,0,,
2012-11-30,Friday,0,,
2012-12-01,Saturday,1,,
2012-12-02,Sunday,1,,
2012-12-03,Monday,0,,
2012-12-04,Tuesday,0,,
2012-12-05,Wednesday,0,,
2012-12-06,Thursday,0,,
2012-12-07,Friday,0,,
2012-12-08,Saturday,1,,
2012-12-09,Sunday,1,,
2012-12-10,Monday,0,,
2012-12-11,Tuesday,0,,
2012-12-12,Wednesday,0,,
2012-12-13,Thursday,0,,
2012-12-14,Friday,0,,
2012-12-15,Saturday,1,,
2012-12-16,Sunday,1,,
2012-12-17,Monday,0,,
2012-12-18,Tuesday,0,,
2012-12-19,Wednesday,0,,
2012-12-20,Thursday,0,,
2012-12-21,Friday,0,,
2012-12-22,Saturday,1,,
2012-12-23,Sunday,1,,
2012-12-24,Monday,0,,
2012-12-25,Tuesday,0,Christmas Day,
2012-12-26,Wednesday,0,Boxing Day,
2012-12-27,Thursday,0,,
2012-12-28,Friday,0,,
2012-12-29,Saturday,1,,
2012-12-30,Sunday,1,,
2012-12-31,Monday,0,,
2013-01-01,Tuesday,0,New Years,
2013-01-02,Wednesday,0,,
2013-01-03,Thursday,0,,
2013-01-04,Friday,0,,
2013-01-05,Saturday,1,,
2013-01-06,Sunday,1,,
2013-01-07,Monday,0,,
2013-01-08,Tuesday,0,,
2013-01-09,Wednesday,0,,
2013-01-10,Thursday,0,,
2013-01-11,Friday,0,,
2013-01-12,Saturday,1,,
2013-01-13,Sunday,1,,
2013-01-14,Monday,0,,
2013-01-15,Tuesday,0,,
2013-01-16,Wednesday,0,,
2013-01-17,Thursday,0,,
2013-01-18,Friday,0,,
2013-01-19,Saturday,1,,
2013-01-20,Sunday,1,,
2013-01-21,Monday,0,,
2013-01-22,Tuesday,0,,
2013-01-23,Wednesday,0,,
2013-01-24,Thursday,0,,
2013-01-25,Friday,0,,
2013-01-26,Saturday,1,,
2013-01-27,Sunday,1,,
2013-01-28,Monday,0,,
2013-01-29,Tuesday,0,,
2013-01-30,Wednesday,0,,
2013-01-31,Thursday,0,,
2013-02-01,Friday,0,,
2013-02-02,Saturday,1,,
2013-02-03,Sunday,1,,
2013-02-04,Monday,0,,
2013-02-05,Tuesday,0,,
2013-02-06,Wednesday,0,,
2013-02-07,Thursday,0,,
2013-02-08,Friday,0,,
2013-02-09,Saturday,1,,
2013-02-10,Sunday,1,,
2013-02-11,Monday,0,Family Day,
2013-02-12,Tuesday,0,,
2013-02-13,Wednesday,0,,
2013-02-14,Thursday,0,,
2013-02-15,Friday,0,,
2013-02-16,Saturday,1,,
2013-02-17,Sunday,1,,
2013-02-18,Monday,0,,
2013-02-19,Tuesday,0,,
2013-02-20,Wednesday,0,,
2013-02-21,Thursday,0,,
2013-02-22,Friday,0,,
2013-02-23,Saturday,1,,
2013-02-24,Sunday,1,,
2013-02-25,Monday,0,,
2013-02-26,Tuesday,0,,
2013-02-27,Wednesday,0,,
2013-02-28,Thursday,0,,
2013-03-01,Friday,0,,
2013-03-02,Saturday,1,,
2013-03-03,Sunday,1,,
2013-03-04,Monday,0,,
2013-03-05,Tuesday,0,,
2013-03-06,Wednesday,0,,
2013-03-07,Thursday,0,,
2013-03-08,Friday,0,,
2013-03-09,Saturday,1,,
2013-03-10,Sunday,1,,-1
2013-03-11,Monday,0,,
2013-03-12,Tuesday,0,,
2013-03-13,Wednesday,0,,
2013-03-14,Thursday,0,,
2013-03-15,Friday,0,,
2013-03-16,Saturday,1,,
2013-03-17,Sunday,1,,
2013-03-18,Monday,0,,
2013-03-19,Tuesday,0,,
2013-03-20,Wednesday,0,,
2013-03-21,Thursday,0,,
2013-03-22,Friday,0,,
2013-03-23,Saturday,1,,
2013-03-24,Sunday,1,,
2013-03-25,Monday,0,,
2013-03-26,Tuesday,0,,
2013-03-27,Wednesday,0,,
2013-03-28,Thursday,0,,
2013-03-29,Friday,0,Good Friday,
2013-03-30,Saturday,1,,
2013-03-31,Sunday,1,,
2013-04-01,Monday,0,Easter Monday,
2013-04-02,Tuesday,0,,
2013-04-03,Wednesday,0,,
2013-04-04,Thursday,0,,
2013-04-05,Friday,0,,
2013-04-06,Saturday,1,,
2013-04-07,Sunday,1,,
2013-04-08,Monday,0,,
2013-04-09,Tuesday,0,,
2013-04-10,Wednesday,0,,
2013-04-11,Thursday,0,,
2013-04-12,Friday,0,,
2013-04-13,Saturday,1,,
2013-04-14,Sunday,1,,
2013-04-15,Monday,0,,
2013-04-16,Tuesday,0,,
2013-04-17,Wednesday,0,,
2013-04-18,Thursday,0,,
2013-04-19,Friday,0,,
2013-04-20,Saturday,1,,
2013-04-21,Sunday,1,,
2013-04-22,Monday,0,,
2013-04-23,Tuesday,0,,
2013-04-24,Wednesday,0,,
2013-04-25,Thursday,0,,
2013-04-26,Friday,0,,
2013-04-27,Saturday,1,,
2013-04-28,Sunday,1,,
2013-04-29,Monday,0,,
2013-04-30,Tuesday,0,,
2013-05-01,Wednesday,0,,
2013-05-02,Thursday,0,,
2013-05-03,Friday,0,,
2013-05-04,Saturday,1,,
2013-05-05,Sunday,1,,
2013-05-06,Monday,0,,
2013-05-07,Tuesday,0,,
2013-05-08,Wednesday,0,,
2013-05-09,Thursday,0,,
2013-05-10,Friday,0,,
2013-05-11,Saturday,1,,
2013-05-12,Sunday,1,,
2013-05-13,Monday,0,,
2013-05-14,Tuesday,0,,
2013-05-15,Wednesday,0,,
2013-05-16,Thursday,0,,
2013-05-17,Friday,0,,
2013-05-18,Saturday,1,,
2013-05-19,Sunday,1,,
2013-05-20,Monday,0,Victoria Day,
2013-05-21,Tuesday,0,,
2013-05-22,Wednesday,0,,
2013-05-23,Thursday,0,,
2013-05-24,Friday,0,,
2013-05-25,Saturday,1,,
2013-05-26,Sunday,1,,
2013-05-27,Monday,0,,
2013-05-28,Tuesday,0,,
2013-05-29,Wednesday,0,,
2013-05-30,Thursday,0,,
2013-05-31,Friday,0,,
2013-06-01,Saturday,1,,
2013-06-02,Sunday,1,,
2013-06-03,Monday,0,,
2013-06-04,Tuesday,0,,
2013-06-05,Wednesday,0,,
2013-06-06,Thursday,0,,
2013-06-07,Friday,0,,
2013-06-08,Saturday,1,,
2013-06-09,Sunday,1,,
2013-06-10,Monday,0,,
2013-06-11,Tuesday,0,,
2013-06-12,Wednesday,0,,
2013-06-13,Thursday,0,,
2013-06-14,Friday,0,,
2013-06-15,Saturday,1,,
2013-06-16,Sunday,1,,
2013-06-17,Monday,0,,
2013-06-18,Tuesday,0,,
2013-06-19,Wednesday,0,,
2013-06-20,Thursday,0,,
2013-06-21,Friday,0,,
2013-06-22,Saturday,1,,
2013-06-23,Sunday,1,,
2013-06-24,Monday,0,,
2013-06-25,Tuesday,0,,
2013-06-26,Wednesday,0,,
2013-06-27,Thursday,0,,
2013-06-28,Friday,0,,
2013-06-29,Saturday,1,,
2013-06-30,Sunday,1,,
2013-07-01,Monday,0,Canada Day,
2013-07-02,Tuesday,0,,
2013-07-03,Wednesday,0,,
2013-07-04,Thursday,0,,
2013-07-05,Friday,0,,
2013-07-06,Saturday,1,,
2013-07-07,Sunday,1,,
2013-07-08,Monday,0,,
2013-07-09,Tuesday,0,,
2013-07-10,Wednesday,0,,
2013-07-11,Thursday,0,,
2013-07-12,Friday,0,,
2013-07-13,Saturday,1,,
2013-07-14,Sunday,1,,
2013-07-15,Monday,0,,
2013-07-16,Tuesday,0,,
2013-07-17,Wednesday,0,,
2013-07-18,Thursday,0,,
2013-07-19,Friday,0,,
2013-07-20,Saturday,1,,
2013-07-21,Sunday,1,,
2013-07-22,Monday,0,,
2013-07-23,Tuesday,0,,
2013-07-24,Wednesday,0,,
2013-07-25,Thursday,0,,
2013-07-26,Friday,0,,
2013-07-27,Saturday,1,,
2013-07-28,Sunday,1,,
2013-07-29,Monday,0,,
2013-07-30,Tuesday,0,,
2013-07-31,Wednesday,0,,
2013-08-01,Thursday,0,,
2013-08-02,Friday,0,,
2013-08-03,Saturday,1,,
2013-08-04,Sunday,1,,
2013-08-05,Monday,0,Civic Day,
2013-08-06,Tuesday,0,,
2013-08-07,Wednesday,0,,
2013-08-08,Thursday,0,,
2013-08-09,Friday,0,,
2013-08-10,Saturday,1,,
2013-08-11,Sunday,1,,
2013-08-12,Monday,0,,
2013-08-13,Tuesday,0,,
2013-08-14,Wednesday,0,,
2013-08-15,Thursday,0,,
2013-08-16,Friday,0,,
2013-08-17,Saturday,1,,
2013-08-18,Sunday,1,,
2013-08-19,Monday,0,,
2013-08-20,Tuesday,0,,
2013-08-21,Wednesday,0,,
2013-08-22,Thursday,0,,
2013-08-23,Friday,0,,
2013-08-24,Saturday,1,,
2013-08-25,Sunday,1,,
2013-08-26,Monday,0,,
2013-08-27,Tuesday,0,,
2013-08-28,Wednesday,0,,
2013-08-29,Thursday,0,,
2013-08-30,Friday,0,,
2013-08-31,Saturday,1,,
2013-09-01,Sunday,1,,
2013-09-02,Monday,0,Labour Day,
2013-09-03,Tuesday,0,,
2013-09-04,Wednesday,0,,
2013-09-05,Thursday,0,,
2013-09-06,Friday,0,,
2013-09-07,Saturday,1,,
2013-09-08,Sunday,1,,
2013-09-09,Monday,0,,
2013-09-10,Tuesday,0,,
2013-09-11,Wednesday,0,,
2013-09-12,Thursday,0,,
2013-09-13,Friday,0,,
2013-09-14,Saturday,1,,
2013-09-15,Sunday,1,,
2013-09-16,Monday,0,,
2013-09-17,Tuesday,0,,
2013-09-18,Wednesday,0,,
2013-09-19,Thursday,0,,
2013-09-20,Friday,0,,
2013-09-21,Saturday,1,,
2013-09-22,Sunday,1,,
2013-09-23,Monday,0,,
2013-09-24,Tuesday,0,,
2013-09-25,Wednesday,0,,
2013-09-26,Thursday,0,,
2013-09-27,Friday,0,,
2013-09-28,Saturday,1,,
2013-09-29,Sunday,1,,
2013-09-30,Monday,0,,
